Country Name,Score,GDP,Savings,Inflation
Mauritania,4.49,1679.444873,33.47988051,2.300092621
Mozambique,4.466,503.5707727,17.80104326,2.781106312
Tunisia,4.461,3317.453593,8.551045436,6.720075329
Bangladesh,4.456,1855.739824,35.68421085,5.591996399
Iraq,4.437,5955.10901,13.30068902,-0.19896538
Congo (Kinshasa),4.418,,,
Mali,4.39,879.0080104,,-1.658266948
Sierra Leone,4.374,527.5336344,,14.80305857
Sri Lanka,4.3660000000000005,3853.083693,25.25059722,3.528393582
Myanmar,4.36,1407.813143,,8.825066968
Chad,4.35,709.5403100999998,,-0.971939175
Ukraine,4.332,3659.031312,12.05956676,7.886717456
Ethiopia,4.2860000000000005,855.7608623,,15.84032204
Swaziland,4.212,,,
Uganda,4.189,794.3410779,22.23160009,2.86909425
Egypt,4.166,,,
Zambia,4.107,1305.063254,39.73143333,9.150316443
Togo,4.085,679.2902491,,0.6858975909999999
India,4.015,2099.599048,29.1434369,7.659694742999999
Liberia,3.975,621.8929536,,
Comoros,3.973,1370.148207,,
Madagascar,3.933,523.3590644999998,,5.610514415
Lesotho,3.802,1118.131284,25.77230069,5.187083592
Burundi,3.775,261.2474725,,-0.686772171
Zimbabwe,3.663,1463.98591,,
Haiti,3.597,1272.490925,,18.70378257
Botswana,3.488,7961.325181,,2.772864429
Syria,3.462,,,
Malawi,3.41,411.5523404,10.9645461,9.370836056
Yemen,3.38,,,
Rwanda,3.334,820.0252417,,3.34787655
Tanzania,3.2310000000000003,1122.12181,,3.447502351
Afghanistan,3.2030000000000003,507.1034319,,2.302372515
Central African Republic,3.083,467.9074406,,
South Sudan,2.853,,,
